"MW","AMW","Sv","Se","Sp","Ss","Mv","Me","Mp","Ms","nAT","nSK","nBT","nBO","nBM","SCBO","nCIC","nCIR","RBN","RBF","nDB","nTB","nAB","nH","nC","nN","nO","nS","nF","nCL","nBR","nI","nX","nR03","nR05","nR06","nR07","nR08","nR09","nR10","nR11","nR12","nBnz","ISIZ","IAC","AAC","ZM1","ZM1V","ZM2","ZM2V","Qindex","SNar","HNar","GNar","Xt","Dz","Ram","Pol","LPRS","VDA","MSD","SMTI","SMTIV","GMTI","GMTIV","Xu","SPI","W","WA","RDSUM","Har","QW","TI1","TI2","HyDp","RHyDp","w_","ww","Rww","D.D","Wap","WhetZ","Whetm","Whetv","Whete","Whetp","J","JhetZ","Jhetm","Jhetv","Jhete","Jhetp","MAXDN","MAXDP","DELS","TIE","X0","X1","X2","X3","X4","X5","X0A","X1A","X2A","X3A","X4A","X5A","X0v","X1v","X2v","X3v","X4v","X5v","X0Av","X1Av","X2Av","X3Av","X4Av","X5Av","X0sol","X1sol","X2sol","X3sol","X4sol","X5sol","XMOD","RDCHI","RDSQ","S0K","S1K","S2K","S3K","PHI","BLI","PW2","PW3","PW4","PW5","PJI2","CSI","ECC","AECC","DECC","MDDD","UNIP","CENT","VAR","BAC","Lop","ICR","IDE","IDM","IDDE","IDDM","IDET","IDMT","IVDE","IVDM","HVcpx","HDcpx","Uindex","Vindex","Xindex","Yindex","IC0","TIC0","SIC0","CIC0","BIC0","IC1","TIC1","SIC1","CIC1","BIC1","IC2","TIC2","SIC2","CIC2","BIC2","IC3","TIC3","SIC3","CIC3","BIC3","IC4","TIC4","SIC4","CIC4","BIC4","IC5","TIC5","SIC5","CIC5","BIC5","LP1","STN","Eig1Z","Eig1m","Eig1v","Eig1e","Eig1p","SEigZ","SEigm","SEigv","SEige","SEigp","VEA1","VEA2","VRA1","VRA2","VED1","VED2","VRD1","VRD2","VEZ1","VEZ2","VRZ1","VRZ2","VEm1","VEm2","VRm1","VRm2","VEv1","VEv2","VRv1","VRv2","VEe1","VEe2","VRe1","VRe2","VEp1","VEp2","VRp1","VRp2","NGS","MPC03","MPC04","MPC05","MPC06","MPC07","MPC08","MPC09","MPC10","piPC03","piPC04","piPC05","piPC06","piPC07","piPC08","piPC09","piPC10","TPC","piID","PCR","PCD","CID","BID","D.Dr03","D.Dr05","D.Dr06","D.Dr07","D.Dr08","D.Dr09","D.Dr10","D.Dr11","D.Dr12","T.N..N.","T.N..O.","T.N..S.","T.N..F.","T.N..Cl.","T.N..Br.","T.N..I.","T.O..O.","T.O..S.","T.O..F.","T.O..Cl.","T.O..Br.","T.O..I.","T.S..S.","T.S..F.","T.S..Cl.","T.F..F.","T.F..Cl.","T.Cl..Cl.","T.Cl..Br.","T.I..I.","W3D","J3D","H3D","AGDD","DDI","ADDD","G1","G2","RGyr","SPAN","SPAM","SPH","ASP","FDI","PJI3","L.Bw","SEig","DISPm","QXXm","QYYm","QZZm","DISPv","QXXv","QYYv","QZZv","DISPe","QXXe","QYYe","QZZe","DISPp","QXXp","QYYp","QZZp","G.N..N.","G.N..O.","G.N..S.","G.N..F.","G.N..Cl.","G.N..Br.","G.N..I.","G.O..O.","G.O..S.","G.O..F.","G.O..Cl.","G.O..Br.","G.O..I.","G.S..S.","G.S..F.","G.S..Cl.","G.F..F.","G.F..Cl.","G.Cl..Cl.","G.Cl..Br.","G.I..I."
314.49,7.15,27.56,43.5,29.69,42.17,0.63,0.99,0.67,1.92,44,22,46,24,12,30,3,6,8,0.17,0,0,12,22,18,2,1,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,2,240.215,65.049,1.478,114,244.444,134,253.333,16,16.008,1.941,2.07,0,46,7,35,99.21,93.091,0.232,4368,6205.111,4384,8578.666,21.237,68.906,1024,4.433,77.166,40.943,780.26,58.97,2.813,1698,24.413,2720,19264,14.04,99.044,10112,777.565,777.593,1090.334,823.373,1130.999,1.69,2.266,2.266,1.628,2.111,1.588,0.753,1.915,7.601,86.993,15.527,10.686,9.444,7.726,6.536,5.718,0.706,0.445,0.286,0.176,0.109,0.069,14.19,8.377,6.796,4.95,3.798,2.929,0.645,0.349,0.206,0.113,0.063,0.035,15.88,11.094,10.086,8.536,7.436,6.746,70.632,3.355,175.375,70.054,15.566,6.839,3.385,4.839,1.047,0.57,0.326,0.182,0.111,1,362,172,7.818,1.124,17.19,62,684,72,17,1.517,2.431,3.128,7.646,4.096,4.425,722.608,7829.869,1.891,5.048,2.974,1.653,34.148,0.267,0.401,0.792,1.478,65.049,0.271,3.981,0.259,2.354,103.578,0.431,3.105,0.413,3.648,160.5,0.668,1.812,0.64,4.635,203.95,0.849,0.824,0.813,4.817,211.95,0.882,0.642,0.845,4.817,211.95,0.882,0.642,0.845,2.487,5.318,74.799,74.803,105.779,78.439,110.794,1.161,1.16,-1.75,0.6,-2.001,3.933,0.179,252.579,11.481,4.605,0.209,123.34,5.606,4.586,0.208,124.557,5.662,4.586,0.208,124.559,5.662,4.566,0.208,125.897,5.723,4.6,0.209,123.501,5.614,4.551,0.207,126.964,5.771,33,44,60,83,94,110,123,129,109,93,166.25,302.5,383.875,575.438,864,1217.344,1367.438,1188,13829.59,11.641,142.54,45.127,22.287,0,0,127.968,0,0,0,145.303,0,0,4,12,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3859.565,3.218,141.324,175.435,692.933,31.497,66.275,30.081,5.288,5.347,0.349,0.935,0.331,0.72,0.761,2,75.27,8.913,66.579,68.202,199.046,9.289,76.348,82.116,231.932,0.102,136.071,154.288,422.624,0.732,85.29,92.604,255.794,3.53,9.6,7.4,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0
326.5,7.26,28.56,44.5,30.69,47.33,0.63,0.99,0.68,2.06,45,23,47,25,14,32.5,3,6,7,0.15,1,0,13,22,19,2,1,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,2,247.133,66.315,1.474,120,260.444,141,267.333,17,16.414,1.89,2.041,0,48,8,37,105.451,100.348,0.229,4889,7149.111,4889,10164,22.063,173.971,1154,4.561,82.459,43.106,882.98,63.949,2.809,1960,25.787,2994,21346,15.893,110.977,11285,865.595,865.591,1135.984,914.852,1166.255,1.703,2.309,2.309,1.752,2.156,1.725,1.551,4.755,12.258,130.429,16.397,11.059,10.174,8.024,6.714,5.839,0.713,0.442,0.291,0.174,0.108,0.068,14.69,8.718,7.201,5.15,3.91,3.026,0.639,0.349,0.206,0.112,0.063,0.035,16.751,11.467,10.816,8.833,7.614,6.853,72.33,3.406,187.256,75.147,16.255,6.876,3.499,4.859,1.046,0.58,0.324,0.175,0.106,1,381,182,7.913,1.149,18.624,67,767,77,24,1.532,2.442,3.167,7.777,4.35,4.489,801.277,8975.14,1.897,5.208,2.995,1.666,36.48,0.265,0.397,0.783,1.474,66.315,0.268,4.018,0.255,2.5,112.497,0.455,2.992,0.433,3.828,172.273,0.697,1.664,0.664,4.686,210.869,0.853,0.806,0.812,4.864,218.869,0.886,0.628,0.843,4.864,218.869,0.886,0.628,0.843,2.492,5.318,79.61,79.611,104.416,83.348,108.113,1.161,1.16,-1.75,0.6,-2.001,4.013,0.174,263.951,11.476,4.709,0.205,131.554,5.72,4.69,0.204,132.787,5.773,4.69,0.204,132.789,5.773,4.69,0.204,132.333,5.754,4.703,0.204,131.661,5.724,4.677,0.203,133.181,5.79,35,46,62,86,100,118,133,142,125,105.75,186.5,344.688,476.688,724.5,1066.219,1567.078,1900.828,1304,19190.62,14.717,201.68,46.965,23.277,0,0,136.575,0,0,0,154.723,0,0,4,14,10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3937.04,3.347,147.498,174.98,710.701,31.587,69.115,30.71,5.475,4.713,0.324,0.932,0.314,0.708,0.935,1.9,76.71,10.523,76.067,77.742,216.699,10.734,87.434,93.387,233.985,0.142,153.686,172.486,407.533,0.821,97.672,105.221,254.917,3.53,11.53,7.4,0,0,0,0,0,4.62,0,0,0,0,0,0,0,0,0,0,0,0
298.49,6.94,27.05,42.17,29.24,38.83,0.63,0.98,0.68,1.85,43,21,45,23,12,29,3,6,7,0.16,0,0,12,22,18,2,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,2,233.329,58.163,1.353,110,206.444,129,224.333,16,15.315,1.938,2.074,0,43,7,33,92.563,83.81,0.229,3795,5078.777,3827,6664.333,20.265,66.94,880,4.19,72.792,39.174,678.48,53.612,2.902,1381,23.319,2400,16838,13.634,91.162,8599,684.226,684.221,907.223,723.53,934.644,1.71,2.233,2.233,1.672,2.088,1.636,0.718,0.481,5.685,82.64,14.82,10.148,9.287,7.189,6.607,5.389,0.706,0.441,0.29,0.171,0.112,0.069,13.73,8.247,7.099,4.833,4.066,2.849,0.654,0.359,0.222,0.115,0.069,0.037,15.173,10.556,9.929,7.999,7.531,6.359,66.289,3.249,165.796,59.201,14.643,6.225,3.154,4.341,1.076,0.575,0.321,0.193,0.109,0.8,328,154,7.333,1.016,14.104,56,584,63,14,1.447,2.213,3.022,7.517,3.332,4.362,634.662,6615.256,1.746,5.001,2.885,1.64,31.859,0.277,0.412,0.829,1.353,58.163,0.249,4.074,0.238,2.122,91.248,0.391,3.304,0.374,3.425,147.272,0.631,2.001,0.604,4.211,181.065,0.776,1.215,0.742,4.443,191.065,0.819,0.983,0.783,4.536,195.065,0.836,0.89,0.8,2.48,5.318,68.307,68.307,90.49,71.669,93.86,0.911,0.911,-0.797,0.352,-0.807,3.895,0.185,196.831,9.373,4.51,0.215,114.539,5.454,4.498,0.214,115.319,5.491,4.498,0.214,115.32,5.491,4.499,0.214,114.677,5.461,4.508,0.215,114.594,5.457,4.49,0.214,115.145,5.483,32,42,59,78,86,98,108,108,86,87.5,156.75,278.125,338.5,509.813,765.563,1051.125,1107.281,1037,11993.63,11.566,123.541,43.069,21.303,0,0,119.143,0,0,0,136.547,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3285.03,3.536,1282.095,152.792,639.518,29.745,160.356,28.363,4.802,4.938,0.339,0.919,0.389,0.699,0.946,2.6,73.505,10.112,45.509,45.587,159.279,10.478,60.009,60.285,187.087,0.052,110.22,111.091,320.78,0.818,66.85,67.2,206.859,3.52,0,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284.46,7.11,25.46,39.28,27.48,37.33,0.64,0.98,0.69,1.87,40,20,42,22,12,28,3,6,6,0.14,0,0,12,20,17,2,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,2,212.877,54.952,1.374,106,202.444,126,223.333,16,14.622,1.935,2.077,0.001,41,7,33,85.808,74.4,0.224,3232,4377.778,3258,5796.667,19.225,58.129,744,3.916,68.669,37.5,554.819,45.931,2.421,1088,22.294,2152,14736,11.783,77.53,7668,559.756,559.748,763.585,598.423,786.17,1.76,2.374,2.374,1.731,2.193,1.698,0.834,0.45,5.324,76.022,14.113,9.665,8.773,7.423,5.943,5.355,0.706,0.439,0.283,0.177,0.106,0.069,13.022,7.781,6.545,4.991,3.501,2.788,0.651,0.354,0.211,0.119,0.063,0.036,14.466,10.073,9.416,8.233,6.867,6.325,63.352,3.13,157.201,55.219,13.686,5.605,2.648,3.835,1.061,0.583,0.344,0.183,0.113,1,276,130,6.5,0.95,12.4,50,488,50,13,1.275,2.121,2.864,7.387,3.522,4.295,544.146,5495.865,1.681,4.941,2.756,1.628,29.586,0.293,0.43,0.901,1.374,54.952,0.258,3.948,0.246,2.18,87.219,0.41,3.141,0.39,3.37,134.819,0.633,1.951,0.603,4.165,166.612,0.783,1.157,0.746,4.315,172.612,0.811,1.007,0.773,4.415,176.612,0.83,0.907,0.791,2.482,5.318,58.487,58.487,79.78,61.985,82.835,0.911,0.911,-0.797,0.352,-0.807,3.902,0.195,140.292,7.015,4.406,0.22,106.863,5.343,4.393,0.22,107.741,5.387,4.393,0.22,107.742,5.387,4.393,0.22,107.16,5.358,4.405,0.22,106.891,5.345,4.383,0.219,107.755,5.388,31,42,56,78,86,96,102,104,78,87.5,153.75,278.125,340.5,509.813,758.063,1047.375,1092.656,959,11148.58,11.625,114.892,41.069,20.327,0,0,109.612,0,0,0,125.319,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2729.76,3.448,1249,136.488,559.452,27.973,155.898,27.26,4.315,4.577,0.338,0.921,0.298,0.705,0.798,1.8,68.617,9.598,49.09,49.27,131.762,10.043,63.646,64.286,157.01,0.049,115.508,117.53,271.251,0.789,70.73,71.542,173.946,2.7,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326.5,7.26,28.56,44.5,30.69,47.67,0.63,0.99,0.68,2.07,45,23,47,25,14,32.5,3,6,7,0.15,1,0,13,22,19,2,1,1,0,0,0,0,0,0,0,3,0,0,0,2,0,0,2,247.133,66.315,1.474,122,262.444,145,273.333,18,16.126,1.84,2.016,0,48,9,39,104.416,95.652,0.216,4657,6825.111,4637,9678.667,21.794,360.744,1100,4.348,84.039,43.772,828.98,60.038,2.41,1765,26.273,2940,20548,16.378,109.306,11015,811.595,811.591,1081.984,860.852,1112.255,1.782,2.449,2.449,1.831,2.281,1.8,1.558,4.78,12.686,140.016,16.56,10.969,10.306,8.487,6.575,5.953,0.72,0.439,0.286,0.177,0.104,0.066,14.853,8.646,7.315,5.491,3.749,3.042,0.646,0.346,0.203,0.114,0.06,0.034,16.914,11.377,10.948,9.296,7.475,6.954,71.757,3.319,191.58,74.124,16.255,6.482,3.204,4.581,1.038,0.592,0.343,0.171,0.108,0.8,353,169,7.348,1.059,16.854,64,728,63,32,1.375,2.235,3.043,7.794,4.35,4.494,769.861,8573.272,1.85,5.193,2.913,1.668,36.373,0.28,0.415,0.849,1.474,66.315,0.268,4.018,0.255,2.5,112.497,0.455,2.992,0.433,3.812,171.518,0.694,1.68,0.661,4.758,214.114,0.866,0.734,0.825,4.847,218.114,0.883,0.645,0.84,4.847,218.114,0.883,0.645,0.84,2.498,5.318,73.976,73.976,98.589,77.791,102.208,1.161,1.16,-1.75,0.6,-2.001,4.108,0.179,176.537,7.676,4.717,0.205,131.438,5.715,4.702,0.204,132.637,5.767,4.702,0.204,132.639,5.767,4.702,0.204,132.12,5.744,4.716,0.205,131.472,5.716,4.689,0.204,133.011,5.783,36,48,63,90,106,123,138,147,122,107.75,187.5,350.688,490.688,744.375,1101.469,1618.172,1931.766,1304,19190.62,14.717,201.68,46.786,23.29,0,0,134.669,0,0,0,152.721,0,0,3,13,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3824.548,3.454,159.723,169.98,714.415,31.752,71.477,30.588,5.179,4.843,0.328,0.93,0.272,0.71,0.821,1.5,78.355,8.027,79.023,80.279,193.798,8.913,89.865,94.33,215.327,0.15,156.064,170.166,379.865,0.697,101.31,106.972,235.934,2.43,10.4,6.38,0,0,0,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,0
296.47,7.23,26.46,40.28,28.48,37.5,0.65,0.98,0.69,1.79,41,21,44,24,12,30,4,7,3,0.07,0,0,12,20,18,2,0,1,0,0,0,0,0,0,1,3,0,0,0,2,0,0,2,219.66,56.162,1.37,114,210.444,136,235.333,18,16.989,2.211,2.246,0,43,6,32,92.805,84.667,0.233,4081,5345.444,4417,7365,20.414,4.583,889,4.233,73.321,40.11,650.48,75.445,3.01,1417.5,23.744,2557,18987,8.119,79.263,12530,685.226,685.227,940.814,724.675,977.244,1.447,1.899,1.899,1.373,1.779,1.331,0.422,0.59,5.385,68.478,14.071,10.416,9.044,8.024,7.047,5.664,0.67,0.434,0.274,0.174,0.112,0.071,12.981,8.592,6.822,5.501,4.365,3.056,0.618,0.358,0.207,0.12,0.069,0.038,14.424,10.824,9.686,8.834,7.971,6.646,67.727,3.427,171.031,60.04,13.382,5.839,2.615,3.721,1.074,0.571,0.342,0.2,0.106,0.8,348,155,7.381,1.029,14.032,57,581,59,0,0,2.201,3.042,7.508,3.499,4.365,638.717,6674.868,1.494,5.032,2.91,1.638,27.797,0.233,0.349,0.688,1.37,56.162,0.256,3.988,0.243,2.274,93.221,0.424,3.084,0.403,3.455,141.66,0.645,1.902,0.612,4.138,169.66,0.772,1.22,0.733,4.382,179.66,0.818,0.976,0.776,4.48,183.66,0.836,0.878,0.794,2.477,6.928,68.162,68.162,93.17,71.572,97.291,0.911,0.911,-0.797,0.352,-0.807,3.916,0.186,210.078,10.004,4.516,0.215,117.387,5.59,4.505,0.215,117.847,5.612,4.505,0.215,117.848,5.612,4.514,0.215,116.823,5.563,4.514,0.215,117.286,5.585,4.508,0.215,117.096,5.576,33,46,63,80,88,104,118,128,112,91.5,160.75,278.125,336.5,511.313,768.813,1072.5,1172.719,1339,15363.8,11.474,158.136,44.188,21.307,0,46.211,115.139,0,0,0,131.014,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3103.941,2.713,132.489,151.412,606.747,29.597,63.272,29.18,4.836,4.747,0.34,0.917,0.369,0.726,0.85,2.4,68.706,10.126,50.395,50.436,168.307,10.001,67.35,67.495,196.683,0.067,120.233,120.692,327.612,0.792,74.146,74.33,216.927,2.69,0,6.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370.63,7.27,32.34,50.02,35.4,44.33,0.63,0.98,0.69,1.77,51,25,54,28,12,34,4,7,6,0.11,0,0,12,26,21,2,0,2,0,0,0,0,0,0,0,4,0,0,0,2,0,0,2,289.294,70.844,1.389,134,228.889,160,256.667,20,19.186,2.055,2.154,0,51,8,42,118.244,115.52,0.222,6390,7861.555,6754,9980.223,23.767,28.107,1444,4.813,94.029,48.396,1084.696,106.773,3.422,2569,29.004,3860,30686,12.578,121.855,20635,1123.905,1123.872,1468.07,1210.404,1487.637,1.454,1.876,1.876,1.431,1.741,1.413,0.609,0.563,6.831,98.214,17.225,12.258,10.718,9.567,8.002,6.919,0.689,0.438,0.275,0.177,0.111,0.071,16.705,11.229,8.937,7.296,5.474,4.388,0.668,0.401,0.229,0.135,0.076,0.045,17.933,13.224,11.853,10.851,9.243,8.345,84.406,3.675,217.118,81.903,17.477,7.75,3.635,5.418,1.203,0.576,0.349,0.192,0.111,0.833,477,218,8.72,1.136,19.341,77,963,82,6,0.663,2.423,3.235,8.021,4.484,4.616,970.515,11581.73,1.811,5.203,3.101,1.687,35.617,0.218,0.33,0.635,1.389,70.844,0.245,4.283,0.235,2.399,122.327,0.423,3.274,0.406,4.05,206.565,0.714,1.622,0.686,5.04,257.029,0.888,0.633,0.853,5.251,267.784,0.926,0.422,0.889,5.251,267.784,0.926,0.422,0.889,2.49,7.11,93.539,93.537,121.746,100.529,123.641,1.536,1.537,-0.716,0.423,-0.414,4.114,0.165,298.269,11.931,4.924,0.197,150.708,6.028,4.922,0.197,150.198,6.008,4.922,0.197,150.197,6.008,4.925,0.197,150.019,6.001,4.92,0.197,150.865,6.035,4.924,0.197,149.707,5.988,39,54,72,98,108,129,151,170,163,103,178.25,317.5,399.875,602.438,913.75,1308.594,1523.375,1991,22664.5,11.383,233.104,52.038,25.263,0,0,214.198,0,0,0,165.615,0,0,4,0,22,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5156.882,3.059,185.778,202.231,898.594,35.239,84.918,37,5.822,5.077,0.316,0.916,0.267,0.696,0.693,1.4,87.45,10.187,101.945,102.537,245.122,9.666,119.432,121.533,275.595,0.067,215.514,222.149,465.93,0.782,136.156,138.82,308.82,3.03,0,15.21,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0
386.63,7.44,32.85,51.35,35.85,50.72,0.63,0.99,0.69,1.95,52,26,55,29,13,36,4,7,6,0.11,1,0,12,26,21,2,1,2,0,0,0,0,0,0,0,4,0,0,0,2,0,0,2,296.423,77.973,1.499,140,264.889,167,260.667,21,19.592,2,2.124,0,54,9,44,124.679,123.385,0.218,7046,9296.223,7407,12612.22,24.563,74.148,1604,4.935,99.623,50.59,1211.142,114.876,3.426,2914,30.405,4204,33598,14.44,135.039,22672,1220.807,1220.76,1618.499,1329.348,1627.432,1.464,1.928,1.928,1.452,1.77,1.446,2.18,5.011,14.276,102.348,18.096,12.631,11.448,9.865,8.18,7.04,0.696,0.436,0.279,0.176,0.111,0.07,17.114,11.729,9.687,7.585,5.629,4.498,0.658,0.404,0.236,0.135,0.076,0.045,18.738,13.783,12.948,11.297,9.51,8.505,89.083,3.724,229.734,87.106,18.244,7.854,3.799,5.511,1.213,0.584,0.347,0.185,0.106,0.833,498,229,8.808,1.16,21.077,82,1076,88,11,0.721,2.459,3.271,8.136,4.393,4.672,1063.134,13050.73,1.826,5.349,3.121,1.698,37.699,0.216,0.328,0.631,1.499,77.973,0.263,4.201,0.252,2.528,131.457,0.443,3.172,0.425,4.109,213.694,0.721,1.591,0.69,5.08,264.158,0.891,0.62,0.853,5.287,274.913,0.927,0.414,0.888,5.287,274.913,0.927,0.414,0.888,2.495,7.11,97.792,97.789,129.159,106.133,130.188,1.786,1.786,-1.669,0.672,-1.608,4.187,0.161,312.72,12.028,5.021,0.193,159.548,6.136,5.018,0.193,158.678,6.103,5.018,0.193,158.678,6.103,5.02,0.193,158.956,6.114,5.018,0.193,159.402,6.131,5.019,0.193,158.529,6.097,41,56,74,101,114,137,161,184,180,109,187.25,335.5,442.625,674.438,1006,1476.219,1784.938,2161,26584.02,12.302,275.381,53.876,26.256,0,0,225.74,0,0,0,175.035,0,0,4,14,22,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,5546.782,3.005,185.194,213.338,948.62,36.485,89.451,40.049,6.189,5.32,0.32,0.924,0.299,0.706,0.722,1.7,88.97,10.832,104.518,104.647,283.586,9.636,112.75,113.209,301.621,0.09,197.157,198.606,519.377,0.806,126.472,127.053,338.277,3.51,9.28,16.94,0,0,0,0,0,4.65,0,0,0,0,4.06,0,0,0,0,0,0,0
402.63,7.6,33.36,52.68,36.31,57.42,0.63,0.99,0.69,2.13,53,27,56,30,14,38,4,7,6,0.11,2,0,12,26,21,2,2,2,0,0,0,0,0,0,0,4,0,0,0,2,0,0,2,303.58,83.13,1.568,148,300.889,176,264.667,23,19.879,1.94,2.088,0,57,10,46,131.06,130.815,0.214,7710,10754.89,8064,15316.22,25.324,205.976,1766,5.031,105.718,53.034,1339.588,122.592,3.441,3260.5,31.973,4550,36513,16.636,149.222,24711,1317.991,1317.93,1770.724,1448.989,1768.559,1.48,1.985,1.986,1.479,1.804,1.482,4.142,5.087,23.2,118.661,19.018,12.932,12.507,10.106,8.327,7.146,0.704,0.431,0.284,0.174,0.11,0.069,17.522,12.229,10.642,7.873,5.785,4.608,0.649,0.408,0.242,0.136,0.076,0.044,19.622,14.234,14.536,11.659,9.73,8.653,92.813,3.751,243.774,91.376,17.724,6.807,3.465,4.469,1.223,0.596,0.342,0.177,0.101,0.833,519,240,8.889,1.177,22.266,87,1183,94,18,0.76,2.476,3.296,8.248,4.208,4.727,1156.92,14565.24,1.964,5.464,3.124,1.708,39.843,0.216,0.327,0.63,1.568,83.13,0.274,4.159,0.261,2.578,136.613,0.45,3.15,0.43,4.129,218.851,0.721,1.599,0.688,5.081,269.315,0.887,0.647,0.847,5.284,280.07,0.923,0.444,0.881,5.284,280.07,0.923,0.444,0.881,2.504,7.11,101.791,101.787,136.105,111.355,136.358,2.036,2.035,-2.622,0.92,-2.803,4.302,0.159,329.604,12.208,5.118,0.19,168.373,6.236,5.112,0.189,167.291,6.196,5.112,0.189,167.291,6.196,5.115,0.189,167.936,6.22,5.115,0.189,167.99,6.222,5.113,0.189,167.457,6.202,44,58,76,104,120,145,171,198,197,115,196.25,353.5,485.375,746.438,1098.25,1643.844,2046.5,2332,30507.55,13.082,317.693,55.647,27.25,0,0,237.283,0,0,0,184.454,0,0,4,28,22,0,0,0,0,0,12,0,0,0,0,5,0,0,0,0,0,0,0,5744.534,3.058,194.819,216.775,975.821,36.823,98.752,44.01,6.291,5.319,0.317,0.925,0.306,0.699,0.732,1.8,90.819,9.282,109.081,109.192,299.441,9.002,109.994,110.387,304.546,0.208,194.038,195.279,531.225,0.732,122.56,123.058,339.383,3.53,19.31,16.96,0,0,0,0,0,9.15,0,0,0,0,4,0,0,0,0,0,0,0
384.59,6.99,33.87,54.49,36.42,53.33,0.62,0.99,0.66,1.98,55,27,58,30,12,36,4,7,8,0.14,0,0,12,28,22,2,2,1,0,0,0,0,0,0,0,4,0,0,0,2,0,0,2,317.975,81.261,1.477,144,298.444,170,305.333,21,20.285,2,2.12,0,57,9,44,132.247,136.889,0.226,8096,11535.11,8528,17021.33,25.605,74.947,1848,5.265,103.859,52.226,1426.765,130.57,4.063,3621.5,31.401,4472,35827,16.853,159.257,23558,1503,1503.084,2056.951,1552.488,2158.075,1.411,1.747,1.747,1.282,1.681,1.228,1.443,3.741,16.033,112.712,18.803,13.135,11.822,9.953,8.39,7.487,0.696,0.438,0.281,0.178,0.11,0.071,16.913,10.583,8.735,6.584,5.121,4.068,0.626,0.353,0.208,0.118,0.067,0.039,19.156,13.544,12.464,10.763,9.29,8.501,85.737,3.845,238.339,88.054,18.975,8.335,4.229,5.858,1.058,0.578,0.338,0.188,0.116,0.857,603,276,10.222,1.342,23.21,92,1212,118,11,0.704,2.656,3.44,8.229,4.431,4.724,1207.325,15207.92,1.851,5.283,3.284,1.706,39.997,0.204,0.313,0.579,1.477,81.261,0.256,4.304,0.246,2.699,148.432,0.467,3.083,0.45,4.289,235.917,0.742,1.492,0.715,5.063,278.465,0.876,0.718,0.844,5.281,290.465,0.913,0.5,0.88,5.281,290.465,0.913,0.5,0.88,2.493,7.11,116.257,116.265,159.948,119.587,168.468,1.411,1.41,-2.703,0.849,-3.196,4.126,0.153,483.021,17.89,5.112,0.189,167.862,6.217,5.106,0.189,168.02,6.223,5.106,0.189,168.022,6.223,5.091,0.189,169.258,6.269,5.112,0.189,167.547,6.205,5.084,0.188,169.755,6.287,42,56,76,105,114,133,152,168,162,105,182.25,326.5,409.875,610.188,919.5,1312.281,1497.438,2190,24648.36,11.255,253.229,55.853,27.238,0,0,248.351,0,0,0,192.153,0,0,4,24,10,0,0,0,0,12,16,0,0,0,0,0,0,0,0,0,0,0,0,6246.04,3.17,616.118,227.129,1028.308,37.393,123.65,36.77,6.53,6.214,0.336,0.925,0.545,0.685,0.856,4.5,95.316,7.38,55.696,57.931,296.873,8.162,67.917,75.86,320.579,0.017,129.142,154.232,584.964,0.65,77.314,87.387,350.134,3.05,18.92,6.45,0,0,0,0,9.27,11.33,0,0,0,0,0,0,0,0,0,0,0,0
